Task,Method,Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,Pearson_mean,Pearson_std,MaxAE_mean,MaxAE_std,MedAE_mean,MedAE_std
SOH_30to70,Baseline,MLP,0.01369017114933504,0.00041246417973589167,0.017572946646528392,0.0005025775948742334,1.5472975190408378,0.045082121503960064,0.885759625874757,0.0066006469672992875,0.9425607719305542,0.0031058721619080043,0.07157050037185933,0.0031096257334044457,0.011372582768993233,0.00033974479609645894
SOH_30to70,Baseline,CNN,0.014402845928409971,0.0007803093607306721,0.01864762382241423,0.0005504183210711435,1.6303887615740602,0.0832277734858123,0.8713527320191089,0.0075253854371438705,0.9341675028741321,0.004427031241109863,0.08024143638165052,0.0010583619378231816,0.01171205776546077,0.001157165792212035
SOH_30to70,Baseline,RNN,0.015014748597439873,0.0002902724569411988,0.019801840033181098,0.00024224072639721626,1.6969698647750966,0.030411456461080944,0.8550389114460055,0.003547743875085444,0.9252401061848106,0.0013606474049017367,0.0860672019666305,0.0014478151862408976,0.011773181823029399,0.000951582242199992
SOH_30to70,Baseline,LSTM,0.016404744423819822,0.0004819955567373253,0.021430775176739213,0.00013568449423207303,1.8500508432914888,0.0493269890598718,0.8302270376302305,0.002154220293489718,0.9123803185892385,0.0005042528103701733,0.09025992816985742,0.002681194212859961,0.013287947318806958,0.0014025645800429033
SOH_30to70,Baseline,Transformer,0.01859659062487754,0.0007705864975449475,0.023989042440632304,0.0007821048377936312,2.0904743214859467,0.08536128545731009,0.7870573952247697,0.013788963360619378,0.8905644630229282,0.006317867482580787,0.1038394591059528,0.00851527141172337,0.01510484569421,0.000882057412943762
SOH_30to70,Baseline,PatchTST,0.026025248960484287,0.0015772861645712475,0.03291459382766956,0.00198337444323369,2.9093287925560896,0.1734915030997609,0.598092188071955,0.04974627513349914,0.8195885406557203,0.015797703799249947,0.1257217743513346,0.010321592917269666,0.021699065515519433,0.0013306868405881685
SOH_30to70,Baseline,Informer,0.016488108392538912,0.0004609011604509929,0.021514535966122943,0.0004202569449403298,1.8594967826578164,0.04975998210638934,0.828838925722641,0.006725653327861031,0.9139605221489158,0.0056468323898059974,0.09162071367623256,0.00540380985980284,0.013030988472363603,0.0007246008074027828
SOH_30to70,Baseline,iTransformer,0.022366115269526282,0.0021021470746098426,0.028721650650823122,0.002510912214066386,2.509371507796073,0.23298120608958717,0.6927437737058,0.05559482781527028,0.8431104843206019,0.02560202241146134,0.1172907525540835,0.006425859773047863,0.01827990811896506,0.0018276920725078057
SOH_30to70,Proposed,MLP,0.011416006862423039,0.0007696395624942999,0.01533243802747484,0.0008494224188148914,1.2962623972207832,0.08562376971974615,0.9128376986586098,0.00988648572212966,0.9567257514255718,0.0044882275903806185,0.07354699340488671,0.0026112270692387456,0.008692109770429368,0.0007928492442664389
SOH_30to70,Proposed,CNN,0.01019032981013017,0.000301939298210986,0.013631673138291204,0.0002725973415620994,1.1498305253282701,0.03435211856793877,0.9312856689738329,0.0027438029057304902,0.9661234717094143,0.001565350679145656,0.0717440889188039,0.0009472728608778026,0.008101808396199072,0.0003178184898121533
